startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216726.979,5199920.850,193.611,216726.992,5199920.869,193.708,51,50,1,1,0.179,0.100,0.01002,20.660
216726.992,5199920.869,193.708,216727.004,5199920.886,193.805,52,51,1,1,0.178,0.099,0.00982,20.562
216727.004,5199920.886,193.805,216727.016,5199920.901,193.902,53,52,1,1,0.176,0.099,0.00958,20.463
216727.016,5199920.901,193.902,216727.028,5199920.915,193.999,54,53,1,1,0.175,0.099,0.00950,20.365
216727.080,5199920.238,193.710,216727.083,5199920.216,193.807,55,25,1738,2,0.163,0.099,0.00833,21.183
216727.083,5199920.216,193.807,216727.085,5199920.198,193.904,56,55,1738,2,0.162,0.099,0.00813,21.085
216727.085,5199920.198,193.904,216727.086,5199920.181,194.002,57,56,1738,2,0.162,0.099,0.00820,20.987
216727.086,5199920.181,194.002,216727.088,5199920.166,194.100,58,57,1738,2,0.162,0.099,0.00816,20.887
216727.083,5199920.216,193.807,216727.095,5199920.496,193.865,59,55,3125,3,0.002,0.286,0.00001,0.000
216727.028,5199920.915,193.999,216727.040,5199920.928,194.096,60,54,1,1,0.175,0.099,0.00953,20.266
216727.040,5199920.928,194.096,216727.053,5199920.939,194.193,61,60,1,1,0.175,0.099,0.00950,20.167
216727.053,5199920.939,194.193,216727.065,5199920.951,194.290,62,61,1,1,0.174,0.098,0.00941,20.069
216727.065,5199920.951,194.290,216727.078,5199920.961,194.386,63,62,1,1,0.173,0.098,0.00920,19.971
216727.078,5199920.961,194.386,216727.092,5199920.971,194.483,64,63,1,1,0.170,0.098,0.00892,19.873
216727.092,5199920.971,194.483,216727.105,5199920.980,194.579,65,64,1,1,0.169,0.098,0.00874,19.775
216727.105,5199920.980,194.579,216727.119,5199920.989,194.675,66,65,1,1,0.170,0.097,0.00883,19.677
216727.119,5199920.989,194.675,216727.133,5199920.997,194.771,67,66,1,1,0.173,0.097,0.00909,19.580
216727.133,5199920.997,194.771,216727.147,5199921.004,194.866,68,67,1,1,0.173,0.097,0.00912,19.483
216727.147,5199921.004,194.866,216727.161,5199921.011,194.962,69,68,1,1,0.170,0.097,0.00876,19.387
216727.161,5199921.011,194.962,216727.174,5199921.017,195.057,70,69,1,1,0.164,0.097,0.00820,19.291
216727.174,5199921.017,195.057,216727.188,5199921.023,195.153,71,70,1,1,0.159,0.097,0.00773,19.194
216727.188,5199921.023,195.153,216727.201,5199921.030,195.249,72,71,1,1,0.157,0.097,0.00747,19.097
216727.201,5199921.030,195.249,216727.214,5199921.036,195.345,73,72,1,1,0.156,0.097,0.00741,19.000
216727.214,5199921.036,195.345,216727.226,5199921.042,195.441,74,73,1,1,0.156,0.097,0.00746,18.903
216727.028,5199920.915,193.999,216727.232,5199921.056,193.945,75,54,1736,2,0.002,0.253,0.00000,0.000
216727.088,5199920.166,194.100,216727.314,5199920.208,194.110,76,58,1739,3,0.002,0.231,0.00000,0.000
216727.088,5199920.166,194.100,216727.089,5199920.152,194.198,77,58,1738,2,0.163,0.099,0.00823,20.788
216727.089,5199920.152,194.198,216727.091,5199920.138,194.295,78,77,1738,2,0.164,0.098,0.00824,20.690
216727.091,5199920.138,194.295,216727.094,5199920.123,194.391,79,78,1738,2,0.164,0.097,0.00823,20.592
216727.094,5199920.123,194.391,216727.098,5199920.110,194.487,80,79,1738,2,0.164,0.097,0.00822,20.496
216727.098,5199920.110,194.487,216727.101,5199920.098,194.584,81,80,1738,2,0.163,0.098,0.00819,20.399
216727.101,5199920.098,194.584,216727.104,5199920.085,194.681,82,81,1738,2,0.162,0.098,0.00811,20.301
216727.104,5199920.085,194.681,216727.105,5199920.071,194.778,83,82,1738,2,0.162,0.098,0.00810,20.202
216727.101,5199920.098,194.584,216727.110,5199919.830,194.532,84,81,3124,3,0.002,0.273,0.00001,0.000
216726.280,5199920.913,194.648,216726.632,5199920.875,194.733,85,40,3649,3,0.002,0.364,0.00001,0.000
216727.105,5199920.071,194.778,216727.105,5199920.056,194.875,86,83,1738,2,0.163,0.098,0.00819,20.104
216727.105,5199920.056,194.875,216727.103,5199920.039,194.972,87,86,1738,2,0.164,0.099,0.00831,20.006
216727.103,5199920.039,194.972,216727.103,5199920.022,195.069,88,87,1738,2,0.164,0.098,0.00829,19.907
216726.225,5199920.936,195.029,216726.373,5199921.074,195.019,89,44,3648,3,0.002,0.202,0.00000,0.000
216727.103,5199920.022,195.069,216727.102,5199920.007,195.165,90,88,1738,2,0.163,0.098,0.00813,19.809
216727.102,5199920.007,195.165,216727.102,5199919.992,195.262,91,90,1738,2,0.160,0.098,0.00789,19.712
216727.102,5199919.992,195.262,216727.101,5199919.979,195.359,92,91,1738,2,0.157,0.098,0.00760,19.614
216727.101,5199919.979,195.359,216727.100,5199919.968,195.456,93,92,1738,2,0.154,0.097,0.00722,19.516
